pid,email_21,messenger_21,blog_21,cloud_21,call_check_21,service_purchase_21,money_transfer_21,cradit_card_21,agency_purchase_21,machine_purchase_21,phone_owner_21,data_21,dmb_21,agency_21,voice_service_21,data_service_21,use_date_21,brand_21,age_21,school_21,marry_21,salary_21,job_21,religion_21,email_22,messenger_22,blog_22,cloud_22,call_check_22,service_purchase_22,money_transfer_22,cradit_card_22,agency_purchase_22,machine_purchase_22,phone_owner_22,data_22,dmb_22,agency_22,voice_service_22,data_service_22,use_date_22,brand_22,age_22,school_22,marry_22,salary_22,job_22,religion_22,email_23,messenger_23,blog_23,cloud_23,call_check_23,service_purchase_23,money_transfer_23,cradit_card_23,agency_purchase_23,machine_purchase_23,phone_owner_23,data_23,dmb_23,agency_23,voice_service_23,data_service_23,use_date_23,brand_23,age_23,school_23,marry_23,salary_23,job_23,religion_23
71200002,2,1,2,2,1,8,1,2,6,0,4,1,2,4,2,2,36,1,5,3,2,1,2,2,1,1,2,1,1,2,1,1,3,0,4,2,1,4,2,2,6,1,5,3,2,1,2,2,2,1,2,2,2,7,1,1,23,0,1,3,2,1,2,2,18,1,6,3,2,1,2,2
71200003,1,1,2,1,1,5,1,1,100,20,5,2,2,1,1,1,10,3,3,3,1,8,1,2,1,1,2,2,1,5,1,1,98,28,5,2,2,1,1,1,19,3,3,3,1,7,1,2,1,1,2,1,2,2,1,1,44,0,1,3,1,1,2,2,15,1,3,3,1,7,1,2
71200004,1,1,2,1,1,7,1,2,38,0,4,2,2,1,2,2,12,3,2,3,1,1,2,2,2,1,2,2,2,5,1,1,100,20,4,4,2,1,2,1,1,3,2,3,1,5,1,2,1,1,2,2,2,2,1,1,36,0,1,3,2,1,2,1,12,1,3,3,1,6,1,2
71200005,1,1,2,2,1,8,1,2,38,10,4,2,2,1,2,2,12,3,2,3,1,1,2,2,1,1,2,2,1,1,1,1,38,6,4,2,2,1,2,2,22,3,2,3,1,3,2,2,2,1,2,2,2,8,1,1,50,0,4,3,2,1,1,1,6,1,2,3,1,1,2,2
71220001,1,1,2,2,2,1,2,1,54,0,1,3,1,2,2,2,38,1,5,3,2,7,1,1,1,1,2,1,1,5,2,1,95,24,1,4,1,3,1,1,2,1,5,3,2,7,1,2,1,1,2,2,2,1,2,1,70,0,1,4,2,3,1,1,17,1,5,3,2,8,1,2
71220002,1,1,2,2,1,5,1,1,54,0,4,3,1,2,2,2,38,1,5,3,2,5,1,1,1,1,2,2,2,5,1,1,75,24,1,4,1,3,1,2,6,1,5,3,2,5,1,2,1,1,2,2,2,7,1,1,70,0,1,4,2,3,1,1,18,1,5,3,2,6,1,2
71230002,1,1,2,2,2,5,1,1,33,0,1,3,1,1,2,2,26,1,4,3,1,5,1,2,1,1,2,1,2,4,1,1,72,0,1,4,1,2,1,1,13,1,4,3,1,6,1,1,1,1,2,2,2,1,1,1,65,10,1,4,2,1,1,1,25,3,4,3,1,7,1,1
71260003,1,1,2,2,1,2,2,2,35,0,1,3,1,2,1,1,37,1,6,3,1,5,1,2,2,1,2,2,2,2,2,1,35,0,1,3,2,2,2,2,42,1,6,3,1,5,1,1,2,1,2,2,2,1,2,2,50,0,1,3,1,1,1,2,42,1,6,3,2,6,1,2
71260004,1,1,2,2,1,1,2,2,35,0,1,3,1,1,1,1,43,1,6,3,1,5,1,2,2,1,2,2,1,2,2,1,35,0,1,3,2,1,2,2,42,1,6,3,1,5,1,1,2,1,2,2,2,1,1,2,50,0,1,3,1,1,1,2,42,1,6,3,2,5,1,2
71270001,2,1,2,2,2,7,1,1,50,0,1,3,2,2,2,1,38,1,6,3,2,7,1,2,2,1,2,2,2,7,1,1,52,10,1,3,1,3,2,2,12,1,7,3,2,7,1,2,2,1,2,2,2,7,1,1,45,12,4,3,1,2,1,1,24,1,7,3,2,8,1,2
71270002,2,1,2,2,2,7,1,1,48,0,1,3,2,2,1,1,38,1,6,3,2,1,2,2,2,1,2,2,2,7,1,1,50,12,4,3,1,2,1,2,12,1,6,3,2,1,2,2,2,1,2,2,2,7,1,1,50,0,1,3,1,2,1,1,24,1,6,3,2,1,2,2
71310001,1,1,2,2,2,1,1,1,37,10,1,3,1,1,1,2,22,1,6,4,2,7,1,1,1,1,2,2,2,4,1,1,42,0,1,4,1,3,1,2,9,1,6,4,2,7,1,1,1,1,2,2,2,1,1,1,55,0,1,4,1,2,2,2,21,1,6,4,2,7,1,1
71310002,1,1,2,2,2,1,1,1,37,0,1,3,1,1,1,2,15,1,5,4,2,7,1,1,1,1,2,2,2,2,1,1,43,0,1,4,1,3,1,2,10,1,6,4,2,7,1,1,2,1,2,2,2,7,1,1,55,0,4,4,1,2,2,2,22,1,6,4,2,7,1,1
71330001,2,2,2,2,2,1,2,2,36,0,1,3,1,2,2,2,26,1,7,3,2,7,1,1,1,1,2,2,2,7,2,2,36,0,1,4,1,2,1,2,14,1,7,3,2,6,1,2,2,1,2,2,2,6,2,2,65,0,1,4,1,3,2,2,14,1,7,3,2,7,1,1
